"Demographics","Subgroup","Total Cases","Year","Democratic Candidate","Republican Candidate","Both Candidates","Net Pro Dem. - Pro Rep."
"All","All","1311","1968","61.7","66.5","64","47.6"
"All","All","2639","1972","49.1","66","57.4","41.6"
"All","All","2176","1976","63.1","60.6","61.8","51.3"
"All","All","1545","1980","56.6","56.1","56.2","50.1"
"All","All","2217","1984","57.4","61.2","59.2","48.1"
"All","All","1983","1988","56.8","60.6","58.6","48.1"
"All","All","2463","1992","56.1","52.5","54.2","51.9"
"All","All","1707","1996","59.7","52","55.8","53.8"
"All","All","1788","2000","57.3","56.6","56.9","50.3"
"All","All","1207","2004","52.9","55.5","54.1","48.8"
"All","All","2305","2008","57.9","51.8","54.8","53"
"All","All","2049","2012","57.3","48.5","52.9","54.4"
"All","All","4253","2016","42.2","36.6","39.3","52.7"
"All","All","8158","2020","48.1","41.3","44.5","53.4"
"All","All","5511","2024","46.7","41.2","43.8","52.7"
"pid","Democrats (incl. leaners)","721","1968","71.7","58.7","65.1","56.6"
"pid","Democrats (incl. leaners)","1353","1972","59.8","55.7","57.6","52.1"
"pid","Democrats (incl. leaners)","1108","1976","74","51.3","62.7","61.4"
"pid","Democrats (incl. leaners)","800","1980","68.3","46.3","57.2","61"
"pid","Democrats (incl. leaners)","1057","1984","71.6","44.1","57.7","63.8"
"pid","Democrats (incl. leaners)","932","1988","70.7","45.4","58","62.8"
"pid","Democrats (incl. leaners)","1219","1992","69.3","40.1","54.5","64.8"
"pid","Democrats (incl. leaners)","890","1996","76.2","41.7","58.9","67.2"
"pid","Democrats (incl. leaners)","882","2000","70.6","44.8","57.6","62.9"
"pid","Democrats (incl. leaners)","590","2004","69","34.9","51.8","67.2"
"pid","Democrats (incl. leaners)","1361","2008","73","38.7","55.8","67.1"
"pid","Democrats (incl. leaners)","1248","2012","79.3","30.4","55","74.5"
"pid","Democrats (incl. leaners)","1932","2016","66.6","14.5","40.4","76"
"pid","Democrats (incl. leaners)","3793","2020","74.1","9.6","41.7","82.1"
"pid","Democrats (incl. leaners)","2640","2024","76.1","10.7","43.3","82.7"
"pid","Independents","133","1968","55.2","64.6","60","45.4"
"pid","Independents","377","1972","47.9","65","56.3","41.6"
"pid","Independents","313","1976","59.5","62.7","61","48.5"
"pid","Independents","226","1980","51.5","55.6","53.3","47.7"
"pid","Independents","264","1984","54","64","58.9","44.9"
"pid","Independents","218","1988","53.4","59.4","56.4","47.1"
"pid","Independents","309","1992","52.2","48.9","50.3","51.9"
"pid","Independents","157","1996","56","49.7","53","53.3"
"pid","Independents","214","2000","51.7","56.3","54.3","47.6"
"pid","Independents","118","2004","50.7","51.5","50.3","50.4"
"pid","Independents","256","2008","56.6","52.4","54.5","52.1"
"pid","Independents","215","2012","54.3","46.6","50.6","54"
"pid","Independents","575","2016","34.9","35","35","49.8"
"pid","Independents","942","2020","44.5","35.6","39.8","54.4"
"pid","Independents","380","2024","37.8","40.2","39.1","48.7"
"pid","Republicans (incl. leaners)","444","1968","47.3","80","63.6","33.6"
"pid","Republicans (incl. leaners)","903","1972","33.2","81.9","57.4","25.7"
"pid","Republicans (incl. leaners)","733","1976","47.7","74","60.7","37"
"pid","Republicans (incl. leaners)","517","1980","40.6","71.4","55.9","34.6"
"pid","Republicans (incl. leaners)","877","1984","41.4","80.9","61.2","30.3"
"pid","Republicans (incl. leaners)","820","1988","41.8","78","59.8","31.8"
"pid","Republicans (incl. leaners)","925","1992","40.1","69.9","55","35.1"
"pid","Republicans (incl. leaners)","654","1996","38.3","66.3","52.3","36"
"pid","Republicans (incl. leaners)","678","2000","40.8","72.5","56.7","34.2"
"pid","Republicans (incl. leaners)","482","2004","34.1","81.2","57.6","26.5"
"pid","Republicans (incl. leaners)","652","2008","37.2","69.8","53.5","33.7"
"pid","Republicans (incl. leaners)","567","2012","32.2","69.9","51","31.2"
"pid","Republicans (incl. leaners)","1727","2016","16.6","62.7","39.6","27"
"pid","Republicans (incl. leaners)","3403","2020","20.2","77.6","48.9","21.4"
"pid","Republicans (incl. leaners)","2457","2024","16.3","74.2","45.2","21"
"gender","Men","574","1968","58.1","65.8","62","46.2"
"gender","Men","1151","1972","47.1","65.9","56.3","40.8"
"gender","Men","924","1976","61.6","59.8","60.5","51"
"gender","Men","663","1980","53.9","56.9","55.3","48.5"
"gender","Men","976","1984","54.9","62.5","58.6","46.2"
"gender","Men","860","1988","54.7","61.9","58.2","46.4"
"gender","Men","1150","1992","54.3","52.4","53.3","51"
"gender","Men","766","1996","55.8","54.2","54.8","50.7"
"gender","Men","786","2000","54.6","57.3","55.9","48.7"
"gender","Men","565","2004","50.8","56.9","53.8","47"
"gender","Men","993","2008","56.3","52.7","54.5","51.8"
"gender","Men","883","2012","56.3","49.9","53.1","53.1"
"gender","Men","1981","2016","39.1","39.7","39.3","49.7"
"gender","Men","3718","2020","45.1","44.4","44.6","50.4"
"gender","Men","2541","2024","42.8","44.9","43.8","49"
"gender","Women","737","1968","64.5","67","65.7","48.8"
"gender","Women","1488","1972","50.6","66.1","58.2","42.3"
"gender","Women","1252","1976","64.3","61.3","62.8","51.5"
"gender","Women","882","1980","58.6","55.5","56.9","51.4"
"gender","Women","1241","1984","59.4","60.2","59.7","49.7"
"gender","Women","1123","1988","58.3","59.6","58.9","49.4"
"gender","Women","1313","1992","57.7","52.6","55","52.7"
"gender","Women","941","1996","62.9","50.2","56.6","56.4"
"gender","Women","1002","2000","59.4","56.1","57.6","51.6"
"gender","Women","642","2004","55","54.1","54.4","50.6"
"gender","Women","1312","2008","59.2","51.1","55","54"
"gender","Women","1166","2012","58.2","47.1","52.7","55.6"
"gender","Women","2220","2016","45","33.9","39.4","55.4"
"gender","Women","4380","2020","50.8","38.5","44.5","56.2"
"gender","Women","2924","2024","50.4","37.6","43.9","56.4"
"education","Non-college","1131","1968","62.4","66.4","64.4","48"
"education","Non-college","2283","1972","49.2","66.5","57.7","41.4"
"education","Non-college","1829","1976","64.7","60.2","62.4","52.3"
